Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0603,2,10u,
"C2, C7",0603,2,10n,
"C3, C8",CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder,2,220u,
"C4, C9",0603,2,0u1,
C6,0603,1,0.1u,
"D1, D10, D11, D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8, D9",LED_PLCC_2835_Handsoldering,15,LED,
"D16, D17",D_SMA_Handsoldering,2,SS54,
"H1, H10, H11, H12, H13, H14, H15, H16, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_3.2mm_M3_Pad_Via,16,MountingHole_Pad,
J1,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Conn_01x04,
"J2, J3",AMASS_XT60-M_1x02_P7.20mm_Vertical,2,Conn_01x02,
"L1, L2",L_Bourns_SRR1208_12.7x12.7mm,2,15uH,
"R1, R10, R11, R12, R13, R14, R15, R2, R3, R4, R5, R6, R7, R8, R9",0603,15,R_Photo,
"R16, R21",0603,2,3k24,
"R17, R18, R20",0603,3,10k,
R19,0603,1,5k9,
SW1,SS12D00G3-2.5mm,1,SW_SPDT,
U1,xiao-esp32c3,1,~,
U2,SOIC-24W_7.5x15.4mm_P1.27mm,1,CD74HC4067M,
"U3, U4",TI_SO-PowerPAD-8_ThermalVias,2,TPS5430DDA,
